"place","game","category","subcategory(s)","variable(s)","platformname","regionname","players","time","date","video","comment"
"","Galaga 88/90","First Dimension","","Dual ship -- 412180","TurboGrafx-16/PC Engine","USA / NTSC","baldnate",846.0,"2018-07-12","https://www.youtube.com/watch?v=b5zYJMy7zSU","Played on BizHawk."
"","Galaga 88/90","First Dimension","","Dual ship -- 431510","TurboGrafx-16/PC Engine","USA / NTSC","baldnate",803.0,"2018-07-12","https://www.youtube.com/watch?v=H6cl-luD8yM","Played on BizHawk."
"","Galaga 88/90","Any%","","Dual ship -- 984420","TurboGrafx-16/PC Engine","USA / NTSC","baldnate",834.0,"2018-07-14","https://youtu.be/qTigHrehgLI","Played on BizHawk.    ***Hello friend.  This run has been placed in the any% as you had not warped in stage 3 (Or gathered the 2 blue orbs from stages 1 and 2).   You can view my Fourth dimention vid as reference!  Thanks!"
"","Bongo","any%","","","Arcade","","baldnate",184.0,"2018-03-24","https://www.twitch.tv/videos/242613063","BONGO DANCE"
"","Bongo","any%","","","Arcade","","baldnate",183.0,"2018-03-30","https://www.youtube.com/watch?v=uVV9lJX4l_c","Shaved a second!  BONGO DANCE"
"","Lords of Thunder","Sega CD Any%, 1CC","","","Sega CD","USA / NTSC","baldnate",1767.0,"2020-07-07","https://youtu.be/uZPnNj3ao5A","Played on a Genesis v2 with MegaSD."
"","Columns","Level 10","Pro","","Sega Genesis","USA / NTSC","baldnate",490.0,"2018-07-09","https://www.youtube.com/watch?v=0ab4yYqDsLY","Used BizHawk"
"","Columns","Level 10","Novice","","Sega Genesis","USA / NTSC","baldnate",318.0,"2018-07-08","https://www.youtube.com/watch?v=DngUgYMUZaw","Used BizHawk."
"","Columns","Level 100","Novice","","Sega Genesis","USA / NTSC","baldnate",3499.0,"2018-07-08","https://www.youtube.com/watch?v=SesSy5SwVfs","It's a start!    Played on BizHawk."
"","Columns","100k Points","Novice","","Sega Genesis","USA / NTSC","baldnate",391.0,"2018-07-08","https://www.youtube.com/watch?v=4DcGGxueL5k","Played on BizHawk."
"","Columns","Arcade","Medium","90,532","Sega Genesis","USA / NTSC","baldnate",4.0,"2018-07-09","https://www.youtube.com/watch?v=8NdXagVZfao","Used BizHawk."
"","Columns II: The Voyage Through Time","Stage 5","","","Arcade","JPN / NTSC","baldnate",234.0,"2018-05-07","https://www.youtube.com/watch?v=qSoc5SyoYho","None"
"","Columns II: The Voyage Through Time","Score","","","Arcade","JPN / NTSC","baldnate",16.518,"2018-05-09","https://www.youtube.com/watch?v=iFUJ6T5J078","None"
"","Shark! Shark!","Reach Size 5","Intellivision","Normal","Intellivision","USA / NTSC","baldnate",30.0,"2018-05-05","https://www.twitch.tv/videos/258268212","None"
"","Shark! Shark!","100,000 Points","Intellivision","Normal","Intellivision","USA / NTSC","baldnate",1413.0,"2018-05-10","https://www.youtube.com/watch?v=toHXU9v6ZWw","None"
"","Shark! Shark!","Reach Size 5","Compilation","Normal","PC","USA / NTSC","baldnate",30.0,"2018-05-11","https://www.youtube.com/watch?v=HOQIUBd0fak","None"
"","1943 Kai: Midway Kaisen","Easy","","","TurboGrafx-16/PC Engine","JPN / NTSC","baldnate",2019.0,"2018-07-19","https://www.youtube.com/watch?v=vKA4-mThjpI","Played on BizHawk.  Easy difficulty."
"","1943 Kai: Midway Kaisen","Normal","","","TurboGrafx-16/PC Engine","JPN / NTSC","baldnate",2062.0,"2018-07-19","https://www.youtube.com/watch?v=CL097j-dyxs","Played on BizHawk."
"","1943 Kai: Midway Kaisen","Easy","","","TurboGrafx-16/PC Engine","JPN / NTSC","baldnate",2001.0,"2019-02-05","https://www.youtube.com/watch?v=72SWMCUZMYc","Played on a TG-16 with a TBED.    Split quite late, time is corrected."
